Region,DMZ,Date,Weekly_Sales
1,1,5/2/10,24924.5
1,1,12/2/10,46039.49
1,1,19/2/10,41595.55
1,1,26/2/10,19403.54
1,1,5/3/10,21827.9
1,1,12/3/10,21043.39
1,1,19/3/10,22136.64
1,1,26/3/10,26229.21
1,1,2/4/10,57258.43
1,1,9/4/10,42960.91
1,1,16/4/10,17596.96
1,1,23/4/10,16145.35
1,1,30/4/10,16555.11
1,1,7/5/10,17413.94
1,1,14/5/10,18926.74
1,1,21/5/10,14773.04
1,1,28/5/10,15580.43
1,1,4/6/10,17558.09
1,1,11/6/10,16637.62
1,1,18/6/10,16216.27
1,1,25/6/10,16328.72
1,1,2/7/10,16333.14
1,1,9/7/10,17688.76
1,1,16/7/10,17150.84
1,1,23/7/10,15360.45
1,1,30/7/10,15381.82
1,1,6/8/10,17508.41
1,1,13/8/10,15536.4
1,1,20/8/10,15740.13
1,1,27/8/10,15793.87
1,1,3/9/10,16241.78
1,1,10/9/10,18194.74
1,1,17/9/10,19354.23
1,1,24/9/10,18122.52
1,1,1/10/10,20094.19
1,1,8/10/10,23388.03
1,1,15/10/10,26978.34
1,1,22/10/10,25543.04
1,1,29/10/10,38640.93
1,1,5/11/10,34238.88
1,1,12/11/10,19549.39
1,1,19/11/10,19552.84
1,1,26/11/10,18820.29
1,1,3/12/10,22517.56
1,1,10/12/10,31497.65
1,1,17/12/10,44912.86
1,1,24/12/10,55931.23
1,1,31/12/10,19124.58
1,1,7/1/11,15984.24
1,1,14/1/11,17359.7
1,1,21/1/11,17341.47
1,1,28/1/11,18461.18
1,1,4/2/11,21665.76
1,1,11/2/11,37887.17
1,1,18/2/11,46845.87
1,1,25/2/11,19363.83
1,1,4/3/11,20327.61
1,1,11/3/11,21280.4
1,1,18/3/11,20334.23
1,1,25/3/11,20881.1
1,1,1/4/11,20398.09
1,1,8/4/11,23873.79
1,1,15/4/11,28762.37
1,1,22/4/11,50510.31
1,1,29/4/11,41512.39
1,1,6/5/11,20138.19
1,1,13/5/11,17235.15
1,1,20/5/11,15136.78
1,1,27/5/11,15741.6
1,1,3/6/11,16434.15
1,1,10/6/11,15883.52
1,1,17/6/11,14978.09
1,1,24/6/11,15682.81
1,1,1/7/11,15363.5
1,1,8/7/11,16148.87
1,1,15/7/11,15654.85
1,1,22/7/11,15766.6
1,1,29/7/11,15922.41
1,1,5/8/11,15295.55
1,1,12/8/11,14539.79
1,1,19/8/11,14689.24
1,1,26/8/11,14537.37
1,1,2/9/11,15277.27
1,1,9/9/11,17746.68
1,1,16/9/11,18535.48
1,1,23/9/11,17859.3
1,1,30/9/11,18337.68
1,1,7/10/11,20797.58
1,1,14/10/11,23077.55
1,1,21/10/11,23351.8
1,1,28/10/11,31579.9
1,1,4/11/11,39886.06
1,1,11/11/11,18689.54
1,1,18/11/11,19050.66
1,1,25/11/11,20911.25
1,1,2/12/11,25293.49
1,1,9/12/11,33305.92
1,1,16/12/11,45773.03
1,1,23/12/11,46788.75
1,1,30/12/11,23350.88
1,1,6/1/12,16567.69
1,1,13/1/12,16894.4
1,1,20/1/12,18365.1
1,1,27/1/12,18378.16
1,1,3/2/12,23510.49
1,1,10/2/12,36988.49
1,1,17/2/12,54060.1
1,1,24/2/12,20124.22
1,1,2/3/12,20113.03
1,1,9/3/12,21140.07
1,1,16/3/12,22366.88
1,1,23/3/12,22107.7
1,1,30/3/12,28952.86
1,1,6/4/12,57592.12
1,1,13/4/12,34684.21
1,1,20/4/12,16976.19
1,1,27/4/12,16347.6
1,1,4/5/12,17147.44
1,1,11/5/12,18164.2
1,1,18/5/12,18517.79
1,1,25/5/12,16963.55
1,1,1/6/12,16065.49
1,1,8/6/12,17666
1,1,15/6/12,17558.82
1,1,22/6/12,16633.41
1,1,29/6/12,15722.82
1,1,6/7/12,17823.37
1,1,13/7/12,16566.18
1,1,20/7/12,16348.06
1,1,27/7/12,15731.18
1,1,3/8/12,16628.31
1,1,10/8/12,16119.92
1,1,17/8/12,17330.7
1,1,24/8/12,16286.4
1,1,31/8/12,16680.24
1,1,7/9/12,18322.37
1,1,14/9/12,19616.22
1,1,21/9/12,19251.5
1,1,28/9/12,18947.81
1,1,5/10/12,21904.47
1,1,12/10/12,22764.01
1,1,19/10/12,24185.27
1,1,26/10/12,27390.81
1,2,5/2/10,50605.27
1,2,12/2/10,44682.74
1,2,19/2/10,47928.89
1,2,26/2/10,44292.87
1,2,5/3/10,48397.98
1,2,12/3/10,43751.94
1,2,19/3/10,43615.49
1,2,26/3/10,41892.55
1,2,2/4/10,47450.5
1,2,9/4/10,46549.73
1,2,16/4/10,45025.02
1,2,23/4/10,44418.11
1,2,30/4/10,45971.3
1,2,7/5/10,47903.01
