Region,DMZ
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,40
1,41
1,42
1,44
1,45
1,46
1,47
1,48
1,49
1,51
1,52
1,54
1,55
1,56
1,58
1,59
1,60
1,67
1,71
1,72
1,74
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,85
1,87
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,110
2,111
2,112
2,113
2,115
2,116
2,117
2,118
2,119
2,120
2,121
2,122
2,123
2,124
2,125
2,126
2,127
2,128
2,129
2,130
2,131
2,132
2,133
2,134
2,135
2,136
2,137
2,138
2,139
2,140
2,141
2,143
2,144
2,145
2,146
2,147
2,148
2,150
2,151
2,153
2,154
2,155
2,157
2,158
2,159
2,166
2,170
2,171
2,173
2,176
2,177
2,178
2,179
2,180
2,181
2,182
2,184
2,186
2,189
2,190
2,191
2,192
2,193
2,194
2,195
2,196
2,197
2,198
3,199
3,200
3,201
3,202
3,203
3,204
3,205
3,206
3,207
3,208
3,209
3,210
3,211
3,212
3,214
3,215
3,216
3,217
3,218
3,219
3,220
3,221
3,222
3,223
3,224
3,225
3,226
3,227
3,228
3,229
3,230
3,231
3,232
3,233
3,234
3,236
3,238
3,239
3,240
3,242
3,243
3,244
3,245
3,247
3,249
3,250
3,252
3,253
3,254
3,257
3,258
3,265
3,269
3,270
3,272
3,275
3,276
3,277
3,278
3,279
3,280
3,281
3,283
3,285
3,288
3,289
3,290
3,292
3,293
3,294
3,295
3,296
4,297
4,298
4,299
4,300
4,301
4,302
4,303
4,304
4,305
4,306
4,307
4,308
4,309
4,310
4,312
4,313
4,314
4,315
4,316
4,317
4,318
4,319
4,320
4,321
4,322
4,323
4,324
4,325
4,326
4,327
4,328
4,329
4,330
4,331
4,332
4,333
4,334
4,335
4,336
4,337
4,338
4,340
4,341
4,342
4,343
4,344
4,345
4,347
4,348
4,350
4,351
4,352
4,354
4,355
4,356
4,363
4,367
4,368
4,370
4,373
4,374
4,375
4,376
4,377
4,378
4,379
4,381
4,383
4,386
4,387
4,388
4,389
4,390
4,391
4,392
4,393
4,394
4,395
5,396
5,397
5,398
5,399
5,400
5,401
5,402
5,403
5,404
5,405
5,406
5,407
5,408
5,409
5,411
5,412
5,413
5,414
5,415
5,416
5,417
5,418
5,419
5,420
5,421
5,422
5,423
5,424
5,425
5,426
5,427
5,428
5,429
5,430
5,431
5,433
5,435
5,436
5,437
5,439
5,440
5,441
5,442
5,444
5,446
5,447
5,449
5,450
5,451
5,453
5,454
5,455
5,462
5,466
5,467
5,469
5,472
5,473
5,474
5,475
5,476
5,477
5,480
5,482
5,485
5,486
5,487
5,489
5,490
5,491
5,492
5,493
6,494
6,495
6,496
6,497
6,498
6,499
6,500
6,501
6,502
6,503
6,504
6,505
6,506
6,507
6,509
6,510
6,511
6,512
6,513
6,514
6,515
6,516
6,517
6,518
6,519
6,520
6,521
6,522
6,523
6,524
6,525
6,526
6,527
6,528
6,529
6,530
6,531
6,533
6,534
6,535
6,537
6,538
6,539
6,540
6,541
6,542
6,544
6,545
6,547
6,548
6,549
6,551
6,552
6,553
6,560
6,564
6,565
6,567
6,570
6,571
6,572
6,573
6,574
6,575
6,576
6,578
6,580
6,583
6,584
6,585
6,586
6,587
6,588
6,589
6,590
6,591
6,592
7,593
7,594
7,595
7,596
7,597
7,598
7,599
7,600
7,601
7,602
7,603
7,604
7,605
7,606
7,608
7,609
7,610
7,611
7,612
7,613
7,614
7,615
7,616
7,617
7,618
7,619
7,620
7,621
7,622
7,623
7,624
7,625
7,626
7,627
7,628
7,630
7,632
7,633
7,634
7,636
7,637
7,638
7,639
7,640
7,641
7,643
7,644
7,646
7,647
7,648
7,650
7,651
7,652
7,659
7,663
7,664
7,666
7,669
7,670
7,671
7,672
7,673
7,674
7,675
7,677
7,679
7,682
7,683
7,684
7,685
7,686
7,687
7,688
7,689
7,690
8,691
8,692
8,693
8,694
8,695
8,696
8,697
8,698
8,699
8,700
8,701
8,702
8,703
8,704
8,706
8,707
8,708
8,709
8,710
8,711
8,712
8,713
8,714
8,715
8,716
8,717
8,718
8,719
8,720
8,721
8,722
8,723
8,724
8,725
8,726
8,727
8,728
8,730
8,731
8,732
8,734
8,735
8,736
8,737
8,739
8,741
8,742
8,744
8,745
8,746
8,748
8,749
8,750
8,757
8,761
8,762
8,764
8,767
8,768
8,769
8,770
8,771
8,772
8,773
8,775
8,777
8,780
8,781
8,782
8,783
8,784
8,785
8,786
8,787
8,788
8,789
9,790
9,791
9,792
9,793
9,794
9,795
9,796
9,797
9,798
9,799
9,800
9,801
9,802
9,803
9,805
9,806
9,807
9,808
9,809
9,810
9,811
9,812
9,813
9,814
9,815
9,816
9,817
9,818
9,819
9,820
9,821
9,822
9,823
9,824
9,825
9,827
9,829
9,830
9,831
9,833
9,834
9,835
9,836
9,837
9,838
9,840
9,841
9,843
9,844
9,845
9,848
9,849
9,856
9,860
9,861
9,863
9,866
9,867
9,868
9,869
9,870
9,871
9,874
9,876
9,879
9,880
9,881
9,882
9,883
9,884
9,885
9,886
9,887
10,888
10,889
10,890
10,891
10,892
10,893
10,894
10,895
10,896
10,897
10,898
10,899
10,900
10,901
10,903
10,904
10,905
10,906
10,907
10,908
10,909
10,910
10,911
10,912
10,913
10,914
10,915
10,916
10,917
10,918
10,919
10,920
10,921
10,922
10,923
10,924
10,925
10,927
10,928
10,929
10,931
10,932
10,933
10,934
10,935
10,936
10,937
10,938
10,939
10,941
10,942
10,943
10,945
10,946
10,947
10,954
10,958
10,959
10,961
10,964
10,965
10,966
10,967
10,968
10,969
10,970
10,972
10,974
10,977
10,978
10,979
10,980
10,981
10,982
10,983
10,984
10,985
11,986
11,987
11,988
11,989
11,990
11,991
11,992
11,993
11,994
11,995
11,996
11,997
11,998
11,999
11,1001
11,1002
11,1003
11,1004
11,1005
11,1006
11,1007
11,1008
11,1009
11,1010
11,1011
11,1012
11,1013
11,1014
11,1015
11,1016
11,1017
11,1018
11,1019
11,1020
11,1021
11,1022
11,1023
11,1025
11,1026
11,1027
11,1029
11,1030
11,1031
11,1032
11,1033
11,1034
11,1035
11,1036
11,1037
11,1039
11,1040
11,1041
11,1043
11,1044
11,1045
11,1052
11,1056
11,1057
11,1059
11,1062
11,1063
11,1064
11,1065
11,1066
11,1067
11,1068
11,1070
11,1072
11,1075
11,1076
11,1077
11,1078
11,1079
11,1080
11,1081
11,1082
11,1083
11,1084
12,1085
12,1086
12,1087
12,1088
12,1089
12,1090
12,1091
12,1092
12,1093
12,1094
12,1095
12,1096
12,1097
12,1098
12,1100
12,1101
12,1102
12,1103
12,1104
12,1105
12,1106
12,1107
12,1108
12,1109
12,1110
12,1111
12,1112
12,1113
12,1114
12,1115
12,1116
12,1117
12,1118
12,1119
12,1120
12,1122
12,1124
12,1125
12,1126
12,1128
12,1129
12,1130
12,1131
12,1133
12,1135
12,1136
12,1138
12,1139
12,1140
12,1142
12,1143
12,1144
12,1151
12,1155
12,1156
12,1158
12,1161
12,1162
12,1163
12,1164
12,1165
12,1166
12,1167
12,1169
12,1171
12,1174
12,1175
12,1176
12,1177
12,1178
12,1179
12,1180
12,1181
12,1182
