Region,Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Size
1,2010-02-05,1643690.9,42.31,2.572,211.0963582,8.106,151315
1,2010-02-12,1641957.44,38.51,2.548,211.2421698,8.106,151315
1,2010-02-19,1611968.17,39.93,2.514,211.2891429,8.106,151315
1,2010-02-26,1409727.59,46.63,2.561,211.3196429,8.106,151315
1,2010-03-05,1554806.68,46.5,2.625,211.3501429,8.106,151315
1,2010-03-12,1439541.59,57.79,2.667,211.3806429,8.106,151315
1,2010-03-19,1472515.79,54.58,2.72,211.215635,8.106,151315
1,2010-03-26,1404429.92,51.45,2.732,211.0180424,8.106,151315
1,2010-04-02,1594968.28,62.27,2.719,210.8204499,7.808,151315
1,2010-04-09,1545418.53,65.86,2.77,210.6228574,7.808,151315
1,2010-04-16,1466058.28,66.32,2.808,210.4887,7.808,151315
1,2010-04-23,1391256.12,64.84,2.795,210.4391228,7.808,151315
1,2010-04-30,1425100.71,67.41,2.78,210.3895456,7.808,151315
1,2010-05-07,1603955.12,72.55,2.835,210.3399684,7.808,151315
1,2010-05-14,1494251.5,74.78,2.854,210.3374261,7.808,151315
1,2010-05-21,1399662.07,76.44,2.826,210.6170934,7.808,151315
1,2010-05-28,1432069.95,80.44,2.759,210.8967606,7.808,151315
1,2010-06-04,1615524.71,80.69,2.705,211.1764278,7.808,151315
1,2010-06-11,1542561.09,80.43,2.668,211.4560951,7.808,151315
1,2010-06-18,1503284.06,84.11,2.637,211.4537719,7.808,151315
1,2010-06-25,1422711.6,84.34,2.653,211.3386526,7.808,151315
1,2010-07-02,1492418.14,80.91,2.669,211.2235333,7.787,151315
1,2010-07-09,1546074.18,80.48,2.642,211.108414,7.787,151315
1,2010-07-16,1448938.92,83.15,2.623,211.1003854,7.787,151315
1,2010-07-23,1385065.2,83.36,2.608,211.2351443,7.787,151315
1,2010-07-30,1371986.6,81.84,2.64,211.3699032,7.787,151315
1,2010-08-06,1605491.78,87.16,2.627,211.5046621,7.787,151315
1,2010-08-13,1508237.76,87.0,2.692,211.6394211,7.787,151315
1,2010-08-20,1513080.49,86.65,2.664,211.6033633,7.787,151315
1,2010-08-27,1449142.92,85.22,2.619,211.5673056,7.787,151315
1,2010-09-03,1540163.53,81.21,2.577,211.5312479,7.787,151315
1,2010-09-10,1507460.69,78.69,2.565,211.4951902,7.787,151315
1,2010-09-17,1430378.67,82.11,2.582,211.5224596,7.787,151315
1,2010-09-24,1351791.03,80.94,2.624,211.5972246,7.787,151315
1,2010-10-01,1453329.5,71.89,2.603,211.6719895,7.838,151315
1,2010-10-08,1508239.93,63.93,2.633,211.7467544,7.838,151315
1,2010-10-15,1459409.1,67.18,2.72,211.8137436,7.838,151315
1,2010-10-22,1345454.0,69.86,2.725,211.8612937,7.838,151315
1,2010-10-29,1384209.22,69.64,2.716,211.9088438,7.838,151315
1,2010-11-05,1551659.28,58.74,2.689,211.9563939,7.838,151315
1,2010-11-12,1494479.49,59.61,2.728,212.003944,7.838,151315
1,2010-11-19,1483784.18,51.41,2.771,211.8896737,7.838,151315
1,2010-11-26,1955624.11,64.52,2.735,211.7484333,7.838,151315
1,2010-12-03,1548033.78,49.27,2.708,211.607193,7.838,151315
1,2010-12-10,1682614.26,46.33,2.843,211.4659526,7.838,151315
1,2010-12-17,1891034.93,49.84,2.869,211.4053124,7.838,151315
1,2010-12-24,2387950.2,52.33,2.886,211.4051222,7.838,151315
1,2010-12-31,1367320.01,48.43,2.943,211.4049321,7.838,151315
1,2011-01-07,1444732.28,48.27,2.976,211.4047419,7.742,151315
1,2011-01-14,1391013.96,35.4,2.983,211.4574109,7.742,151315
1,2011-01-21,1327405.42,44.04,3.016,211.8272343,7.742,151315
1,2011-01-28,1316899.31,43.83,3.01,212.1970577,7.742,151315
1,2011-02-04,1606629.58,42.27,2.989,212.5668812,7.742,151315
1,2011-02-11,1649614.93,36.39,3.022,212.9367046,7.742,151315
1,2011-02-18,1686842.78,57.36,3.045,213.2478853,7.742,151315
1,2011-02-25,1456800.28,62.9,3.065,213.535609,7.742,151315
1,2011-03-04,1636263.41,59.58,3.288,213.8233327,7.742,151315
1,2011-03-11,1553191.63,53.56,3.459,214.1110564,7.742,151315
1,2011-03-18,1576818.06,62.76,3.488,214.3627114,7.742,151315
1,2011-03-25,1541102.38,69.97,3.473,214.5999389,7.742,151315
1,2011-04-01,1495064.75,59.17,3.524,214.8371664,7.682,151315
1,2011-04-08,1614259.35,67.84,3.622,215.0743939,7.682,151315
1,2011-04-15,1559889.0,71.27,3.743,215.2918561,7.682,151315
1,2011-04-22,1564819.81,72.99,3.807,215.4599053,7.682,151315
1,2011-04-29,1455090.69,72.03,3.81,215.6279544,7.682,151315
1,2011-05-06,1629391.28,64.61,3.906,215.7960035,7.682,151315
1,2011-05-13,1604775.58,75.64,3.899,215.9640526,7.682,151315
1,2011-05-20,1428218.27,67.63,3.907,215.7339202,7.682,151315
1,2011-05-27,1466046.67,77.72,3.786,215.5037878,7.682,151315
1,2011-06-03,1635078.41,83.0,3.699,215.2736553,7.682,151315
1,2011-06-10,1588948.32,83.13,3.648,215.0435229,7.682,151315
1,2011-06-17,1532114.86,86.41,3.637,214.9980596,7.682,151315
1,2011-06-24,1438830.15,83.58,3.594,215.0910982,7.682,151315
1,2011-07-01,1488538.09,85.55,3.524,215.1841368,7.962,151315
1,2011-07-08,1534849.64,85.83,3.48,215.2771754,7.962,151315
1,2011-07-15,1455119.97,88.54,3.575,215.3611087,7.962,151315
1,2011-07-22,1396926.82,85.77,3.651,215.4222784,7.962,151315
1,2011-07-29,1352219.79,86.83,3.682,215.4834482,7.962,151315
1,2011-08-05,1624383.75,91.65,3.684,215.544618,7.962,151315
1,2011-08-12,1525147.09,90.76,3.638,215.6057878,7.962,151315
1,2011-08-19,1530761.43,89.94,3.554,215.6693107,7.962,151315
1,2011-08-26,1464693.46,87.96,3.523,215.7332258,7.962,151315
1,2011-09-02,1550229.22,87.83,3.533,215.7971409,7.962,151315
1,2011-09-09,1540471.24,76.0,3.546,215.861056,7.962,151315
1,2011-09-16,1514259.78,79.94,3.526,216.0410526,7.962,151315
1,2011-09-23,1380020.27,75.8,3.467,216.3758246,7.962,151315
1,2011-09-30,1394561.83,79.69,3.355,216.7105965,7.962,151315
1,2011-10-07,1630989.95,69.31,3.285,217.0453684,7.866,151315
1,2011-10-14,1493525.93,71.74,3.274,217.3552733,7.866,151315
1,2011-10-21,1502562.78,63.71,3.353,217.5159762,7.866,151315
1,2011-10-28,1445249.09,66.57,3.372,217.6766791,7.866,151315
1,2011-11-04,1697229.58,54.98,3.332,217.837382,7.866,151315
1,2011-11-11,1594938.89,59.11,3.297,217.9980849,7.866,151315
1,2011-11-18,1539483.7,62.25,3.308,218.2205088,7.866,151315
1,2011-11-25,2033320.66,60.14,3.236,218.4676211,7.866,151315
1,2011-12-02,1584083.95,48.91,3.172,218.7147333,7.866,151315
1,2011-12-09,1799682.38,43.93,3.158,218.9618456,7.866,151315
1,2011-12-16,1881176.67,51.63,3.159,219.1794533,7.866,151315
1,2011-12-23,2270188.99,47.96,3.112,219.3577216,7.866,151315
1,2011-12-30,1497462.72,44.55,3.129,219.5359898,7.866,151315
1,2012-01-06,1550369.92,49.01,3.157,219.7142581,7.348,151315
1,2012-01-13,1459601.17,48.53,3.261,219.8925263,7.348,151315
1,2012-01-20,1394393.84,54.11,3.268,219.9856893,7.348,151315
1,2012-01-27,1319325.59,54.26,3.29,220.0788523,7.348,151315
1,2012-02-03,1636339.65,56.55,3.36,220.1720153,7.348,151315
1,2012-02-10,1802477.43,48.02,3.409,220.2651783,7.348,151315
1,2012-02-17,1819870.0,45.32,3.51,220.4257586,7.348,151315
1,2012-02-24,1539387.83,57.25,3.555,220.636902,7.348,151315
1,2012-03-02,1688420.76,60.96,3.63,220.8480454,7.348,151315
1,2012-03-09,1675431.16,58.76,3.669,221.0591887,7.348,151315
1,2012-03-16,1677472.78,64.74,3.734,221.2118132,7.348,151315
1,2012-03-23,1511068.07,65.93,3.787,221.2864126,7.348,151315
1,2012-03-30,1649604.63,67.61,3.845,221.3610119,7.348,151315
1,2012-04-06,1899676.88,70.43,3.891,221.4356112,7.143,151315
1,2012-04-13,1621031.7,69.07,3.891,221.5102105,7.143,151315
2,2010-02-05,2136989.46,40.19,2.572,210.7526053,8.324,202307
2,2010-02-12,2137809.5,38.49,2.548,210.8979935,8.324,202307
2,2010-02-19,2124451.54,39.69,2.514,210.9451605,8.324,202307
2,2010-02-26,1865097.27,46.1,2.561,210.9759573,8.324,202307
2,2010-03-05,1991013.13,47.17,2.625,211.0067542,8.324,202307
2,2010-03-12,1990483.78,57.56,2.667,211.037551,8.324,202307
2,2010-03-19,1946070.88,54.52,2.72,210.8733316,8.324,202307
2,2010-03-26,1750197.81,51.26,2.732,210.6766095,8.324,202307
2,2010-04-02,2066187.72,63.27,2.719,210.4798874,8.2,202307
2,2010-04-09,1954689.21,65.41,2.77,210.2831653,8.2,202307
2,2010-04-16,1874957.94,68.07,2.808,210.1495463,8.2,202307
2,2010-04-23,1821990.93,65.11,2.795,210.1000648,8.2,202307
2,2010-04-30,1802450.29,66.98,2.78,210.0505833,8.2,202307
2,2010-05-07,2042581.71,71.28,2.835,210.0011018,8.2,202307
2,2010-05-14,1880752.36,73.31,2.854,209.9984585,8.2,202307
2,2010-05-21,1896937.1,74.83,2.826,210.2768443,8.2,202307
2,2010-05-28,1957113.89,81.13,2.759,210.5552301,8.2,202307
2,2010-06-04,2102539.93,81.81,2.705,210.833616,8.2,202307
2,2010-06-11,2025538.76,83.4,2.668,211.1120018,8.2,202307
2,2010-06-18,2001636.96,85.81,2.637,211.1096543,8.2,202307
2,2010-06-25,1939927.09,86.26,2.653,210.9950134,8.2,202307
2,2010-07-02,2003940.64,82.74,2.669,210.8803726,8.099,202307
2,2010-07-09,1880902.62,82.59,2.642,210.7657317,8.099,202307
2,2010-07-16,1845879.79,85.32,2.623,210.7577954,8.099,202307
2,2010-07-23,1781717.71,87.66,2.608,210.8921319,8.099,202307
2,2010-07-30,1804246.16,83.49,2.64,211.0264684,8.099,202307
2,2010-08-06,1991909.98,89.53,2.627,211.1608049,8.099,202307
2,2010-08-13,1895601.05,89.05,2.692,211.2951413,8.099,202307
2,2010-08-20,1964335.23,88.7,2.664,211.2596586,8.099,202307
2,2010-08-27,1863840.49,87.12,2.619,211.2241759,8.099,202307
2,2010-09-03,1904608.09,81.83,2.577,211.1886931,8.099,202307
2,2010-09-10,1839128.83,79.09,2.565,211.1532104,8.099,202307
2,2010-09-17,1793903.6,82.05,2.582,211.1806415,8.099,202307
2,2010-09-24,1724557.22,81.79,2.624,211.2552578,8.099,202307
2,2010-10-01,1827440.43,69.24,2.603,211.3298742,8.163,202307
2,2010-10-08,1849921.44,63.19,2.633,211.4044906,8.163,202307
2,2010-10-15,1794355.49,65.8,2.72,211.4713286,8.163,202307
2,2010-10-22,1737947.64,68.5,2.725,211.5187208,8.163,202307
2,2010-10-29,1802755.11,66.24,2.716,211.5661131,8.163,202307
2,2010-11-05,1939061.41,57.85,2.689,211.6135053,8.163,202307
2,2010-11-12,1916812.74,59.69,2.728,211.6608975,8.163,202307
2,2010-11-19,1956739.17,50.81,2.771,211.5470304,8.163,202307
2,2010-11-26,2658725.29,62.98,2.735,211.4062867,8.163,202307
2,2010-12-03,2015781.27,49.33,2.708,211.265543,8.163,202307
2,2010-12-10,2378726.55,45.5,2.843,211.1247993,8.163,202307
2,2010-12-17,2609166.75,47.55,2.869,211.0645458,8.163,202307
2,2010-12-24,3436007.68,49.97,2.886,211.0646599,8.163,202307
2,2010-12-31,1750434.55,47.3,2.943,211.064774,8.163,202307
2,2011-01-07,1758050.79,44.69,2.976,211.0648881,8.028,202307
2,2011-01-14,1744193.58,33.02,2.983,211.1176713,8.028,202307
2,2011-01-21,1751384.9,41.4,3.016,211.4864691,8.028,202307
2,2011-01-28,1695371.68,42.83,3.01,211.8552668,8.028,202307
2,2011-02-04,1929346.23,38.25,2.989,212.2240646,8.028,202307
2,2011-02-11,2168041.61,33.19,3.022,212.5928624,8.028,202307
2,2011-02-18,2080884.82,57.83,3.045,212.9033115,8.028,202307
2,2011-02-25,1833511.08,60.8,3.065,213.190421,8.028,202307
2,2011-03-04,1981607.78,57.77,3.288,213.4775305,8.028,202307
2,2011-03-11,1879107.31,52.7,3.459,213.7646401,8.028,202307
2,2011-03-18,1902557.66,62.32,3.488,214.0156238,8.028,202307
2,2011-03-25,1766162.05,69.42,3.473,214.2521573,8.028,202307
2,2011-04-01,1800171.36,55.43,3.524,214.4886908,7.931,202307
2,2011-04-08,1847552.61,67.0,3.622,214.7252242,7.931,202307
2,2011-04-15,1856467.84,69.48,3.743,214.9420631,7.931,202307
2,2011-04-22,1886339.6,69.39,3.807,215.1096657,7.931,202307
2,2011-04-29,1745545.28,69.21,3.81,215.2772683,7.931,202307
2,2011-05-06,1837743.6,61.48,3.906,215.4448709,7.931,202307
2,2011-05-13,1838513.07,74.61,3.899,215.6124735,7.931,202307
2,2011-05-20,1688281.86,67.14,3.907,215.3834778,7.931,202307
2,2011-05-27,1797732.56,76.42,3.786,215.1544822,7.931,202307
2,2011-06-03,1933756.21,83.07,3.699,214.9254865,7.931,202307
2,2011-06-10,1929153.16,83.4,3.648,214.6964908,7.931,202307
2,2011-06-17,1953771.99,86.53,3.637,214.6513538,7.931,202307
2,2011-06-24,1790925.8,85.17,3.594,214.7441108,7.931,202307
2,2011-07-01,1866243.0,85.69,3.524,214.8368678,7.852,202307
2,2011-07-08,1853161.99,87.7,3.48,214.9296249,7.852,202307
2,2011-07-15,1785187.29,89.83,3.575,215.0134426,7.852,202307
2,2011-07-22,1743816.41,89.34,3.651,215.0749122,7.852,202307
2,2011-07-29,1680693.06,90.07,3.682,215.1363819,7.852,202307
2,2011-08-05,1876704.26,93.34,3.684,215.1978515,7.852,202307
2,2011-08-12,1812768.26,91.58,3.638,215.2593211,7.852,202307
2,2011-08-19,1844094.59,89.86,3.554,215.3229307,7.852,202307
2,2011-08-26,1821139.91,90.45,3.523,215.386897,7.852,202307
2,2011-09-02,1809119.7,89.64,3.533,215.4508632,7.852,202307
2,2011-09-09,1748000.65,77.97,3.546,215.5148295,7.852,202307
2,2011-09-16,1691439.52,78.85,3.526,215.6944378,7.852,202307
2,2011-09-23,1669299.78,75.58,3.467,216.0282356,7.852,202307
2,2011-09-30,1650394.44,78.14,3.355,216.3620333,7.852,202307
2,2011-10-07,1837553.43,69.92,3.285,216.6958311,7.441,202307
2,2011-10-14,1743882.19,71.67,3.274,217.0048261,7.441,202307
2,2011-10-21,1834680.25,64.53,3.353,217.1650042,7.441,202307
2,2011-10-28,1769296.25,65.87,3.372,217.3251824,7.441,202307
2,2011-11-04,1959707.9,55.53,3.332,217.4853605,7.441,202307
2,2011-11-11,1920725.15,59.33,3.297,217.6455387,7.441,202307
2,2011-11-18,1902762.5,62.01,3.308,217.8670218,7.441,202307
2,2011-11-25,2614202.3,56.36,3.236,218.1130269,7.441,202307
2,2011-12-02,1954952.0,48.74,3.172,218.3590319,7.441,202307
2,2011-12-09,2290549.32,41.76,3.158,218.605037,7.441,202307
2,2011-12-16,2432736.52,50.13,3.159,218.8217928,7.441,202307
2,2011-12-23,3224369.8,46.66,3.112,218.9995495,7.441,202307
2,2011-12-30,1874226.52,44.57,3.129,219.1773063,7.441,202307
2,2012-01-06,1799520.14,46.75,3.157,219.355063,7.057,202307
2,2012-01-13,1744725.48,45.99,3.261,219.5328198,7.057,202307
2,2012-01-20,1711769.11,51.7,3.268,219.6258417,7.057,202307
2,2012-01-27,1660906.14,50.5,3.29,219.7188636,7.057,202307
2,2012-02-03,1935299.94,55.21,3.36,219.8118854,7.057,202307
2,2012-02-10,2103322.68,46.98,3.409,219.9049073,7.057,202307
2,2012-02-17,2196688.46,43.82,3.51,220.0651993,7.057,202307
2,2012-02-24,1861802.7,54.63,3.555,220.275944,7.057,202307
2,2012-03-02,1952555.66,58.79,3.63,220.4866886,7.057,202307
2,2012-03-09,1937628.26,57.11,3.669,220.6974332,7.057,202307
2,2012-03-16,1976082.13,63.68,3.734,220.8498468,7.057,202307
2,2012-03-23,1790439.16,64.01,3.787,220.9244858,7.057,202307
2,2012-03-30,1857480.84,66.83,3.845,220.9991248,7.057,202307
2,2012-04-06,2129035.91,68.43,3.891,221.0737638,6.891,202307
2,2012-04-13,1935869.1,68.08,3.891,221.1484028,6.891,202307
3,2010-02-05,461622.22,45.71,2.572,214.4248812,7.368,37392
3,2010-02-12,420728.96,47.93,2.548,214.5747916,7.368,37392
3,2010-02-19,421642.19,47.07,2.514,214.6198868,7.368,37392
3,2010-02-26,407204.86,52.05,2.561,214.6475127,7.368,37392
3,2010-03-05,415202.04,53.04,2.625,214.6751386,7.368,37392
3,2010-03-12,384200.69,63.08,2.667,214.7027646,7.368,37392
3,2010-03-19,375328.59,60.42,2.72,214.5301219,7.368,37392
3,2010-03-26,359949.27,57.06,2.732,214.3241011,7.368,37392
3,2010-04-02,423294.4,65.56,2.719,214.1180803,7.343,37392
3,2010-04-09,415870.28,68.0,2.77,213.9120595,7.343,37392
3,2010-04-16,354993.26,66.98,2.808,213.7726889,7.343,37392
3,2010-04-23,339976.65,67.87,2.795,213.7221852,7.343,37392
3,2010-04-30,361248.39,70.24,2.78,213.6716815,7.343,37392
3,2010-05-07,399323.86,73.47,2.835,213.6211778,7.343,37392
3,2010-05-14,384357.94,77.18,2.854,213.6196139,7.343,37392
3,2010-05-21,343763.17,75.81,2.826,213.9116886,7.343,37392
3,2010-05-28,350089.23,78.6,2.759,214.2037634,7.343,37392
3,2010-06-04,396968.8,78.53,2.705,214.4958382,7.343,37392
3,2010-06-11,355017.09,82.1,2.668,214.787913,7.343,37392
3,2010-06-18,364076.85,83.52,2.637,214.7858259,7.343,37392
3,2010-06-25,357346.48,83.79,2.653,214.6660741,7.343,37392
3,2010-07-02,381151.72,82.2,2.669,214.5463222,7.346,37392
3,2010-07-09,349214.18,81.75,2.642,214.4265704,7.346,37392
3,2010-07-16,352728.78,84.32,2.623,214.4176476,7.346,37392
3,2010-07-23,352864.49,83.32,2.608,214.5564968,7.346,37392
3,2010-07-30,347955.05,82.04,2.64,214.695346,7.346,37392
3,2010-08-06,402635.76,85.13,2.627,214.8341952,7.346,37392
3,2010-08-13,339597.38,86.74,2.692,214.9730444,7.346,37392
3,2010-08-20,351728.21,88.02,2.664,214.9314191,7.346,37392
3,2010-08-27,362134.09,86.15,2.619,214.8897938,7.346,37392
3,2010-09-03,366473.97,84.16,2.577,214.8481685,7.346,37392
3,2010-09-10,352260.97,80.84,2.565,214.8065431,7.346,37392
3,2010-09-17,363064.64,82.36,2.582,214.8322484,7.346,37392
3,2010-09-24,355626.87,76.9,2.624,214.9084516,7.346,37392
3,2010-10-01,358784.1,73.6,2.603,214.9846548,7.564,37392
3,2010-10-08,395107.35,66.99,2.633,215.060858,7.564,37392
3,2010-10-15,345584.39,69.71,2.72,215.1293114,7.564,37392
3,2010-10-22,348895.98,71.64,2.725,215.17839,7.564,37392
3,2010-10-29,348591.74,72.04,2.716,215.2274686,7.564,37392
3,2010-11-05,423175.56,62.94,2.689,215.2765472,7.564,37392
3,2010-11-12,386635.03,62.79,2.728,215.3256258,7.564,37392
3,2010-11-19,372545.32,57.72,2.771,215.2074519,7.564,37392
3,2010-11-26,565567.84,68.71,2.735,215.0614025,7.564,37392
3,2010-12-03,476420.77,53.76,2.708,214.9153531,7.564,37392
3,2010-12-10,467642.03,51.13,2.843,214.7693037,7.564,37392
3,2010-12-17,498159.39,52.2,2.869,214.704919,7.564,37392
3,2010-12-24,605990.41,57.16,2.886,214.7017828,7.564,37392
3,2010-12-31,382677.76,53.2,2.943,214.6986466,7.564,37392
3,2011-01-07,378241.34,53.35,2.976,214.6955104,7.551,37392
3,2011-01-14,381061.1,44.76,2.983,214.7470729,7.551,37392
3,2011-01-21,350876.7,50.74,3.016,215.1268275,7.551,37392
3,2011-01-28,364866.24,48.71,3.01,215.5065821,7.551,37392
3,2011-02-04,438516.53,45.95,2.989,215.8863367,7.551,37392
3,2011-02-11,430526.21,43.57,3.022,216.2660913,7.551,37392
3,2011-02-18,432782.1,61.58,3.045,216.5843571,7.551,37392
3,2011-02-25,397211.19,67.4,3.065,216.8780275,7.551,37392
3,2011-03-04,437084.51,65.11,3.288,217.1716979,7.551,37392
3,2011-03-11,404753.3,61.29,3.459,217.4653683,7.551,37392
3,2011-03-18,392109.51,69.47,3.488,217.7235226,7.551,37392
3,2011-03-25,380683.67,72.94,3.473,217.9674705,7.551,37392
3,2011-04-01,374556.08,68.76,3.524,218.2114184,7.574,37392
3,2011-04-08,384075.31,72.55,3.622,218.4553663,7.574,37392
3,2011-04-15,366250.69,75.88,3.743,218.6788642,7.574,37392
3,2011-04-22,391860.04,76.91,3.807,218.851237,7.574,37392
3,2011-04-29,367405.4,78.69,3.81,219.0236099,7.574,37392
3,2011-05-06,413042.12,69.45,3.906,219.1959827,7.574,37392
3,2011-05-13,386312.68,79.87,3.899,219.3683556,7.574,37392
3,2011-05-20,364603.13,75.79,3.907,219.127216,7.574,37392
3,2011-05-27,369350.6,84.41,3.786,218.8860765,7.574,37392
3,2011-06-03,394507.84,84.29,3.699,218.6449369,7.574,37392
3,2011-06-10,391638.75,84.84,3.648,218.4037974,7.574,37392
3,2011-06-17,403423.34,86.96,3.637,218.3551748,7.574,37392
3,2011-06-24,385520.71,84.94,3.594,218.45094,7.574,37392
3,2011-07-01,368962.72,85.1,3.524,218.5467052,7.567,37392
3,2011-07-08,395146.24,85.38,3.48,218.6424704,7.567,37392
3,2011-07-15,373454.33,87.14,3.575,218.7275216,7.567,37392
3,2011-07-22,360617.37,86.19,3.651,218.7857881,7.567,37392
3,2011-07-29,345381.29,88.07,3.682,218.8440545,7.567,37392
3,2011-08-05,409981.25,88.45,3.684,218.9023209,7.567,37392
3,2011-08-12,380376.85,88.88,3.638,218.9605873,7.567,37392
3,2011-08-19,379716.91,88.44,3.554,219.023271,7.567,37392
3,2011-08-26,366367.55,87.67,3.523,219.0866908,7.567,37392
3,2011-09-02,375988.69,89.12,3.533,219.1501106,7.567,37392
3,2011-09-09,377347.49,81.72,3.546,219.2135305,7.567,37392
3,2011-09-16,375629.51,83.63,3.526,219.3972867,7.567,37392
3,2011-09-23,365248.94,80.19,3.467,219.7414914,7.567,37392
3,2011-09-30,368477.93,82.58,3.355,220.085696,7.567,37392
3,2011-10-07,403342.4,75.54,3.285,220.4299007,7.197,37392
3,2011-10-14,368282.57,73.75,3.274,220.7486167,7.197,37392
3,2011-10-21,394976.36,69.03,3.353,220.9144005,7.197,37392
3,2011-10-28,389540.62,71.04,3.372,221.0801842,7.197,37392
3,2011-11-04,459443.22,59.31,3.332,221.245968,7.197,37392
3,2011-11-11,407764.25,61.7,3.297,221.4117517,7.197,37392
3,2011-11-18,398838.97,63.91,3.308,221.6432852,7.197,37392
3,2011-11-25,556925.19,68.0,3.236,221.9011185,7.197,37392
3,2011-12-02,472511.32,54.97,3.172,222.1589519,7.197,37392
3,2011-12-09,468772.8,49.26,3.158,222.4167852,7.197,37392
3,2011-12-16,510747.62,57.95,3.159,222.6426418,7.197,37392
3,2011-12-23,551221.21,53.41,3.112,222.8258628,7.197,37392
3,2011-12-30,410553.88,48.29,3.129,223.0090839,7.197,37392
3,2012-01-06,398178.21,52.42,3.157,223.1923049,6.833,37392
3,2012-01-13,367438.62,51.86,3.261,223.3755259,6.833,37392
3,2012-01-20,365818.61,56.2,3.268,223.4700552,6.833,37392
3,2012-01-27,349518.1,58.06,3.29,223.5645845,6.833,37392
3,2012-02-03,424960.66,59.33,3.36,223.6591137,6.833,37392
3,2012-02-10,473292.47,51.65,3.409,223.753643,6.833,37392
3,2012-02-17,475591.08,52.39,3.51,223.9170153,6.833,37392
3,2012-02-24,418925.47,60.12,3.555,224.1320199,6.833,37392
3,2012-03-02,469752.56,61.65,3.63,224.3470245,6.833,37392
3,2012-03-09,445162.05,60.71,3.669,224.5620291,6.833,37392
3,2012-03-16,411775.8,64.0,3.734,224.7166953,6.833,37392
3,2012-03-23,413907.25,66.53,3.787,224.7909104,6.833,37392
