Region,Date,Weekly_Sales
1,1/10/10,1453329.5
1,1/4/11,1495064.75
1,1/6/12,1624477.58
1,1/7/11,1488538.09
1,10/12/10,1682614.26
1,10/2/12,1802477.43
1,10/6/11,1588948.32
1,10/8/12,1592409.97
1,10/9/10,1507460.69
1,11/11/11,1594938.8900000001
1,11/2/11,1649614.93
1,11/3/11,1553191.63
1,11/5/12,1611096.05
1,11/6/10,1542561.09
1,12/10/12,1573072.81
1,12/11/10,1494479.49
1,12/2/10,1641957.44
1,12/3/10,1439541.59
1,12/8/11,1525147.09
1,13/1/12,1459601.17
1,13/4/12,1621031.7
1,13/5/11,1604775.58
1,13/7/12,1527014.04
1,13/8/10,1508237.76
1,14/1/11,1391013.96
1,14/10/11,1493525.93
1,14/5/10,1494251.5
1,14/9/12,1517428.87
1,15/10/10,1459409.1
1,15/4/11,1559889.0
1,15/6/12,1630607.0
1,15/7/11,1455119.97
1,16/12/11,1881176.67
1,16/3/12,1677472.78
1,16/4/10,1466058.28
1,16/7/10,1448938.92
1,16/9/11,1514259.78
1,17/12/10,1891034.93
1,17/2/12,1819870.0
1,17/6/11,1532114.86
1,17/8/12,1597868.05
1,17/9/10,1430378.67
1,18/11/11,1539483.7
1,18/2/11,1686842.78
1,18/3/11,1576818.06
1,18/5/12,1595901.87
1,18/6/10,1503284.06
1,19/10/12,1508068.77
1,19/11/10,1483784.18
1,19/2/10,1611968.17
1,19/3/10,1472515.79
1,19/8/11,1530761.43
1,2/12/11,1584083.95
1,2/3/12,1688420.76
1,2/4/10,1594968.28
1,2/7/10,1492418.1400000001
1,2/9/11,1550229.22
1,20/1/12,1394393.84
1,20/4/12,1521577.8699999999
1,20/5/11,1428218.27
1,20/7/12,1497954.76
1,20/8/10,1513080.49
1,21/1/11,1327405.42
1,21/10/11,1502562.78
1,21/5/10,1399662.07
1,21/9/12,1506126.06
1,22/10/10,1345454.0
1,22/4/11,1564819.81
1,22/6/12,1527845.81
1,22/7/11,1396926.82
1,23/12/11,2270188.99
1,23/3/12,1511068.07
1,23/4/10,1391256.12
1,23/7/10,1385065.2
1,23/9/11,1380020.27
1,24/12/10,2387950.2
1,24/2/12,1539387.83
1,24/6/11,1438830.15
1,24/8/12,1494122.38
1,24/9/10,1351791.03
1,25/11/11,2033320.66
1,25/2/11,1456800.28
1,25/3/11,1541102.3800000001
1,25/5/12,1555444.55
1,25/6/10,1422711.6
1,26/10/12,1493659.74
1,26/11/10,1955624.11
1,26/2/10,1409727.59
1,26/3/10,1404429.92
1,26/8/11,1464693.46
1,27/1/12,1319325.59
1,27/4/12,1468928.3699999999
